taxon	min	max
taxon_00	6.200	6.200
taxon_01	6.130	6.130
taxon_02	3.110	3.110
taxon_03	4.487	4.487
taxon_04	5.626	5.626
taxon_05	4.875	4.875
taxon_06	3.610	3.610
taxon_07	3.481	3.481
taxon_08	1.585	1.585
taxon_09	2.057	2.057
taxon_10	3.042	3.042
taxon_11	2.954	2.954
taxon_12	2.744	2.744
taxon_13	2.098	2.098
taxon_14	2.873	2.873
taxon_15	2.556	2.556
taxon_16	2.778	2.778
taxon_17	2.542	2.542
taxon_18	2.524	2.524
taxon_19	2.307	2.307
taxon_20	2.188	2.188
taxon_21	2.070	2.070
taxon_22	1.109	1.109
taxon_23	0.762	0.762
taxon_24	0.107	0.107
taxon_25	0.000	0.000
